FechaVenta,IdProducto,Producto,Cantidad,PrecioVenta,IdCliente,Cliente,IdTienda,Tienda
2024-10-20,3,Refrigerador Doble Puerta,4,2712.1,1,ACME Corp,4,ElectroShop Sur
2024-09-20,2,Lavadora 8kg,3,1402.03,6,Stark Industries,8,ElectroShop Este
2024-05-16,5,Aspiradora Sin Bolsa,1,242.97,8,Dunder Mifflin,2,Tienda Central
2024-08-08,2,Lavadora 8kg,4,1622.69,3,Initech,8,ElectroShop Este
2024-07-21,3,Refrigerador Doble Puerta,5,3988.55,8,Dunder Mifflin,9,Tienda Online Plus
2024-01-14,4,Microondas 20L,4,1151.3,3,Initech,4,ElectroShop Sur
2024-04-20,2,Lavadora 8kg,2,971.56,2,Globex Corporation,4,ElectroShop Sur
2024-02-12,7,Home Theater 5.1,2,368.87,10,Hooli,5,Tienda Premium
2024-07-23,1,Televisor LED 55,3,2721.67,2,Globex Corporation,2,Tienda Central
2024-08-20,9,Tablet 10,5,1813.57,2,Globex Corporation,8,ElectroShop Este
2024-08-04,7,Home Theater 5.1,2,410.73,1,ACME Corp,7,Tienda Express
2024-05-04,6,Licuadora 600W,3,446.57,9,Pied Piper,1,ElectroShop Online
2024-10-22,3,Refrigerador Doble Puerta,4,3009.4,8,Dunder Mifflin,10,ElectroShop California
2024-02-09,3,Refrigerador Doble Puerta,1,754.96,8,Dunder Mifflin,10,ElectroShop California
2024-08-19,9,Tablet 10,2,820.13,3,Initech,3,Outlet Norte
2024-12-11,6,Licuadora 600W,5,760.27,5,Weyland-Yutani,3,Outlet Norte
2024-03-03,10,Smartwatch,2,609.67,1,ACME Corp,10,ElectroShop California
2024-08-15,6,Licuadora 600W,1,136.53,1,ACME Corp,1,ElectroShop Online
2024-04-29,7,Home Theater 5.1,1,180.76,6,Stark Industries,5,Tienda Premium
2024-09-20,7,Home Theater 5.1,1,198.95,3,Initech,8,ElectroShop Este
2024-02-21,3,Refrigerador Doble Puerta,3,2442.4,6,Stark Industries,9,Tienda Online Plus
2024-05-01,7,Home Theater 5.1,1,216.51,8,Dunder Mifflin,2,Tienda Central
2024-04-19,2,Lavadora 8kg,4,1932.89,7,Wayne Enterprises,1,ElectroShop Online
2024-12-18,9,Tablet 10,3,1183.37,5,Weyland-Yutani,3,Outlet Norte
2024-10-01,9,Tablet 10,1,376.16,9,Pied Piper,4,ElectroShop Sur
2024-04-05,6,Licuadora 600W,4,506.38,6,Stark Industries,7,Tienda Express
2024-09-09,8,Computadora Portátil 15,1,661.24,1,ACME Corp,1,ElectroShop Online
2024-10-11,2,Lavadora 8kg,1,443.08,2,Globex Corporation,1,ElectroShop Online
2024-12-23,4,Microondas 20L,5,1368.33,9,Pied Piper,4,ElectroShop Sur
2024-02-04,10,Smartwatch,4,1229.32,3,Initech,6,ElectroShop Oeste
2024-08-13,6,Licuadora 600W,4,613.48,1,ACME Corp,4,ElectroShop Sur
2024-02-29,4,Microondas 20L,1,311.42,2,Globex Corporation,8,ElectroShop Este
2024-03-02,4,Microondas 20L,2,578.29,8,Dunder Mifflin,9,Tienda Online Plus
2024-02-20,2,Lavadora 8kg,5,2351.71,1,ACME Corp,6,ElectroShop Oeste
2024-08-20,7,Home Theater 5.1,4,749.58,9,Pied Piper,1,ElectroShop Online
2024-08-02,5,Aspiradora Sin Bolsa,4,1013.24,6,Stark Industries,10,ElectroShop California
2024-01-24,8,Computadora Portátil 15,4,2793.62,7,Wayne Enterprises,6,ElectroShop Oeste
2024-12-22,10,Smartwatch,3,941.61,6,Stark Industries,8,ElectroShop Este
2024-01-20,2,Lavadora 8kg,2,957.37,4,Umbrella Corp,4,ElectroShop Sur
2024-09-13,3,Refrigerador Doble Puerta,2,1423.99,10,Hooli,7,Tienda Express
2024-09-11,10,Smartwatch,4,1259.62,9,Pied Piper,1,ElectroShop Online
2024-05-28,9,Tablet 10,3,1199.77,2,Globex Corporation,3,Outlet Norte
